Game,Team,Opponent,Win_Loss,Runs,Runs Allowed,Day_Night,Attendance,Team,HR Count
12,ATL,SDP,Win,5,4,Night,24516,ATL,2
13,BOS,TBR,Win,4,3,Day,37318,BOS,0
13,CHC,MIL,Loss,3,6,Night,38636,CHC,0
12,CHW,NYY,Loss,4,7,Night,28181,CHW,1
13,CLE,MIN,Win,3,1,Night,16961,CLE,1
13,HOU,LAA,Win,3,0,Night,23501,HOU,0
14,LAA,HOU,Loss,0,3,Night,23501,LAA,0
14,LAD,ARI,Loss,2,4,Night,35448,LAD,1
13,MIA,SEA,Loss,1,6,Night,16990,MIA,1
14,MIL,CHC,Win,6,3,Night,38636,MIL,3
13,MIN,CLE,Loss,1,3,Night,16961,MIN,0
13,NYY,CHW,Win,7,4,Night,28181,NYY,2
13,OAK,TEX,Loss,0,7,Night,10406,OAK,0
13,PIT,STL,Loss,1,2,Night,40172,PIT,0
14,SDP,ATL,Loss,4,5,Night,24516,SD,2
14,SEA,MIA,Win,6,1,Night,16990,SEA,3
13,STL,PIT,Win,2,1,Night,40172,STL,1
14,TBR,BOS,Loss,3,4,Day,37318,TB,0
13,TEX,OAK,Win,7,0,Night,10406,TEX,0
15,ARI,SDP,Win,11,2,Night,19869,ARI,2
13,ATL,WSN,Loss,1,3,Night,21834,ATL,0
12,BAL,CIN,Loss,3,9,Night,16018,BAL,1
14,BOS,TOR,Win,8,7,Night,29281,BOS,1
14,CHC,MIL,Win,9,7,Night,39026,CHC,2
13,CHW,NYY,Win,4,1,Night,30075,CHW,2
14,CIN,BAL,Win,9,3,Night,16018,CIN,2
14,CLE,MIN,Win,11,4,Night,16553,CLE,2
15,COL,LAD,Win,4,3,Night,37960,COL,3
13,DET,TBR,Loss,1,5,Night,16265,DET,1
14,HOU,LAA,Loss,2,5,Night,21760,HOU,2
13,KCR,SFG,Loss,1,2,Night,20863,KC,1
15,LAA,HOU,Win,5,2,Night,21760,LAA,2
15,LAD,COL,Loss,3,4,Night,37960,LAD,0
14,MIA,SEA,Win,5,0,Night,16126,MIA,1
15,MIL,CHC,Loss,7,9,Night,39026,MIL,2
14,MIN,CLE,Loss,4,11,Night,16553,MIN,1
14,NYM,PHI,Loss,2,6,Night,23536,NYM,0
14,NYY,CHW,Loss,1,4,Night,30075,NYY,0
14,OAK,TEX,Win,4,2,Night,12091,OAK,1
13,PHI,NYM,Win,6,2,Night,23536,PHI,1
14,PIT,STL,Loss,1,2,Night,38806,PIT,0
15,SDP,ARI,Loss,2,11,Night,19869,SD,0
15,SEA,MIA,Loss,0,5,Night,16126,SEA,0
15,SFG,KCR,Win,2,1,Night,20863,SF,0
14,STL,PIT,Win,2,1,Night,38806,STL,0
15,TBR,DET,Win,5,1,Night,16265,TB,1
14,TEX,OAK,Loss,2,4,Night,12091,TEX,0
13,TOR,BOS,Loss,7,8,Night,29281,TOR,3
13,WSN,ATL,Win,3,1,Night,21834,WSH,0
16,ARI,SDP,Loss,0,1,Night,17089,ARI,0
14,ATL,WSN,Loss,4,14,Night,22101,ATL,1
13,BAL,CIN,Win,2,0,Night,15083,BAL,0
15,BOS,TOR,Loss,0,3,Night,30842,BOS,0
15,CHC,MIL,Win,7,4,Day,34864,CHC,2
14,CHW,NYY,Loss,1,9,Night,30014,CHW,0
15,CIN,BAL,Loss,0,2,Night,15083,CIN,0
16,COL,LAD,Loss,2,4,Night,45474,COL,0
14,DET,TBR,Loss,7,8,Night,12281,DET,0
15,HOU,LAA,Win,5,1,Night,24028,HOU,1
14,KCR,SFG,Win,2,0,Night,24402,KC,0
16,LAA,HOU,Loss,1,5,Night,24028,LAA,0
16,LAD,COL,Win,4,2,Night,45474,LAD,1
15,MIA,SEA,Loss,5,10,Day,27147,MIA,3
16,MIL,CHC,Loss,4,7,Day,34864,MIL,2
15,NYM,PHI,Win,5,4,Night,22243,NYM,2
15,NYY,CHW,Win,9,1,Night,30014,NYY,4
15,OAK,TEX,Win,9,1,Day,14031,OAK,3
14,PHI,NYM,Loss,4,5,Night,22243,PHI,0
15,PIT,STL,Loss,1,2,Day,40182,PIT,1
16,SDP,ARI,Win,1,0,Night,17089,SD,1
16,SEA,MIA,Win,10,5,Day,27147,SEA,0
16,SFG,KCR,Loss,0,2,Night,24402,SF,0
15,STL,PIT,Win,2,1,Day,40182,STL,2
16,TBR,DET,Win,8,7,Night,12281,TB,0
15,TEX,OAK,Loss,1,9,Day,14031,TEX,1
14,TOR,BOS,Win,3,0,Night,30842,TOR,0
14,WSN,ATL,Win,14,4,Night,22101,WSH,3
